Duration,Title,Published_date,Views,Likes,Comments,Type
7682.0,LUAN SANTANA - Podpah #852,2024-11-22,714885,41818,670,Live
30.0,VULGO ROGÉRIO KKKK,2024-11-22,7066,488,1,Short
48.0,PROIBIDO O USO DE CELULAR ATÉ OS 16 ANOS 😨,2024-11-21,5808,364,1,Short
45.0,O USO DE HORMÔNIOS PODE AUMENTAR O...,2024-11-21,3979,350,0,Short
58.0,O MANÍACO DO PARQUE,2024-11-21,4399,379,2,Short
15.0,"Já beliscou muito, Manoel Gomes?",2024-11-21,12064,659,2,Short
4396.0,BAHIA 1 x 2 PALMEIRAS - PÓS-JOGO - QUEBRADA FC #84,2024-11-21,28255,1247,3,Live
34.0,A resposta no final me pegou kkkk,2024-11-21,8167,569,2,Short
5090.0,JA RULE - Podpah #851,2024-11-20,214735,12682,191,Live
36.0,O POLÊMICO FIM DA ESCALA 6X1,2024-11-20,9201,572,7,Short
28.0,Ataaaaa,2024-11-20,5898,428,2,Short
2415.0,PEDRO SCOOBY MOSTRA COMO É O GALPÃO DA REDBULL EM NAZARÉ - Podpah Visita #59,2024-11-20,90335,4030,34,Live
51.0,EXISTEM CRIANÇAS PSICOPATAS?,2024-11-20,5748,596,5,Short
54.0,CHÁ DE AYAHUASCA,2024-11-20,333610,26306,278,Short
8062.0,APOLLO - Podpah #850,2024-11-20,210477,13065,134,Live
32.0,DEFENTE LEVOU A MAIOR SURRA KKKKKK,2024-11-19,7443,459,3,Short
19.0,WHIND MONSTRANDO COMO SE FAZ 💪,2024-11-19,7617,454,4,Short
3971.0,NÓS SOMOS AQUELES CARAS E NO EPISÓDIO DE HOJE TRAUMATIZAMOS O CHICO (DE NOVO) #99,2024-11-19,1393864,86942,486,Live
22.0,É isso 🤗,2024-11-19,4519,285,1,Short
11870.0,BATALHA DA ALDEIA #396 - Edição de Trap,2024-11-19,179309,8880,50,Live
46.0,Esse sabe lutar 🤣,2024-11-19,10645,627,0,Short
32.0,CARLINHOS MAIA PENSA EM QUER SER PAI ❤️,2024-11-18,4455,248,1,Short
21.0,Favela chapa quente 🎶,2024-11-18,4681,314,0,Short
60.0,GUIA DO LEOZINHO 🎶,2024-11-18,4486,374,1,Short
48.0,A FAVELA NÃO APROVA ESSE TIPO DE FUNK,2024-11-18,11915,937,3,Short
4546.0,"10 MULHERES vs MANOEL GOMES ft. BRINO, MAUMAU & THAIZOCA",2024-11-17,1160071,64244,1069,Live
27.0,CATARRO vs GOZO,2024-11-17,6361,382,1,Short
16.0,Faz isso não kkkkkkkk,2024-11-17,7724,424,1,Short
29.0,"Tá explicado, Julio 🤣",2024-11-17,16579,1347,2,Short
25.0,Power Range Palmeirense,2024-11-16,100623,8232,16,Short
58.0,Essa é hit 😎,2024-11-16,3917,333,2,Short
41.0,Nóis é Favela 🎶,2024-11-16,5075,342,0,Short
27.0,WHINDERSSON LUTANDO NO RANGO BRABO,2024-11-16,9293,605,1,Short
18.0,E A LUÍSA SONZA?,2024-11-15,25292,2188,3,Short
38.0,LEOZIN NO THE KING OF FIGHT,2024-11-15,13835,865,7,Short
60.0,"Eu Sou Cantor, Não Sou Bandido 🎶",2024-11-15,22843,1664,13,Short
39.0,"CARLINHOS MAIA FALA DE LUCAS, SEU MARIDO ❤️",2024-11-15,6442,398,3,Short
4840.0,VENEZUELA 1 x 1 BRASIL - PÓS-JOGO - QUEBRADA FC #83,2024-11-15,36113,1545,9,Live
7831.0,Dra. ANA BEATRIZ - Podpah #849,2024-11-14,359533,17648,185,Live
39.0,SACANAGEM,2024-11-14,8351,628,3,Short
48.0,A crise dos 30...,2024-11-14,4647,268,1,Short
20.0,LIDANDO COM O STRESS,2024-11-14,15829,1236,2,Short
3020.0,E ASSIM FOI MEU ENCONTRO COM O BRUNINHO - QUERIDO DIÁRIO com PRISCILA EVELLYN #20,2024-11-14,39398,1797,31,Live
20.0,O GLOW UP DO NOSSO MITIQUERA,2024-11-14,31855,1610,4,Short
25.0,MAMÃE QUE SÓ GOSTA DE NOVINHA KKKK,2024-11-14,7335,551,2,Short
11100.0,MC DAVI - Podpah #848,2024-11-14,280609,11877,91,Live
45.0,A BOLA DE OURO ERA PRA SER DO VINI JR,2024-11-14,17084,1334,1,Short
28.0,CONSELHO DE AMIGA,2024-11-13,4579,331,0,Short
30.0,"CLIMA FICOU TENSO, NÉ?",2024-11-13,5802,392,3,Short
2176.0,FIZEMOS UM TOUR PELO APARTAMENTO DE LUXO DA GABI BRANDT - Podpah Visita #58,2024-11-13,220315,7249,50,Live
7876.0,MC KADU & MC LEOZINHO ZS - Podpah #847,2024-11-13,575196,24364,254,Live
3735.0,"WHINDERSSON, JAKE PAUL E MIKE TYSON SE PREPARAM PARA LUTA NO RANGO BRABO #98",2024-11-12,817843,49184,251,Live
27.0,DECISÃO DIFÍCIL 🤣,2024-11-12,13209,781,8,Short
11676.0,BATALHA DA ALDEIA #395 - Formatos Especiais,2024-11-12,239785,12962,132,Live
33.0,IMAGINA A CENA 🤡,2024-11-12,9564,626,5,Short
36.0,Defante levando a maior surra da vida dele (PARTE 2),2024-11-11,4970,347,0,Short
49.0,Defante levando a maior surra da vida dele (PARTE 1),2024-11-11,11129,856,1,Short
28.0,T3ddy maluco dentro do carro KKKKKKK,2024-11-11,5212,442,5,Short
45.0,É SÓ DORMIR QUE PASSA KKKK 😂,2024-11-11,121557,8676,19,Short
23.0,DEFANTE LEVANDO CHOQUE,2024-11-10,17836,860,0,Short
26.0,DANDO ERRADO,2024-11-10,6800,495,1,Short
29.0,O Mitico das antigas kkkk,2024-11-10,29294,1709,3,Short
51.0,MITICO PASSOU MAL COMENDO PIMENTA,2024-11-09,6986,469,0,Short
58.0,Quem aí lembra do Barraco de plástico?,2024-11-09,52901,3931,3,Short
32.0,Cocielo e T3ddy já saíram na mão,2024-11-09,9595,769,0,Short
26.0,CALDO TÍMIDO,2024-11-09,4994,351,0,Short
