Duration,Title,Published_date,Views,Likes,Comments,Type
33.0,A IMPORTÂNCIA de JOÃO GORDO para MÚSICA BRASILEIRA,2024-06-21,7875,377,7,Short
10104.0,NELSON E BANDA HEY JUDE - AMPLIFICA #239,2024-06-21,12599,755,59,Live
34.0,RAFA e EDU FALASCHI JUNTOS de novo É POSSÍVEL??,2024-06-20,26949,2249,80,Short
4433.0,THIAGO E ROBERTA BIANCHI - EM FAMÍLIA #016 (Parte 2),2024-06-20,6078,485,20,Live
5507.0,THIAGO E ROBERTA BIANCHI - EM FAMÍLIA #016 (Parte 1),2024-06-20,6075,495,15,Live
29.0,PROBLEMAS da NOVA FORMAÇÃO do ANGRA,2024-06-19,19101,1537,52,Short
11996.0,GLORIA - AMPLIFICA #238,2024-06-19,27884,1781,83,Live
23.0,O QUE é UM PALHAÇO??,2024-06-18,9928,657,13,Short
349.0,MELHORES MOMENTOS no JOÃO ROCK !!!,2024-06-17,1597,112,3,Live
20.0,ATÉ MÚSICOS EXPERIENTES tem QUE se VIRAR,2024-06-17,144938,11952,160,Short
16.0,O MEDO dos MÚSICOS INICIANTES,2024-06-16,10769,735,13,Short
56.0,MILTON NASCIMENTO e ANGRA,2024-06-15,65399,4551,27,Short
32.0,ANGRA DISFARÇADO de BANDA GOSPEL,2024-06-14,18685,1181,19,Short
5789.0,ANANDA + JONI - AMPLIFICA #237,2024-06-14,3861,237,9,Live
31.0,FLIP tomou UM CAPOTE na RAMPA do JOÃO ROCK,2024-06-13,1682,69,0,Short
11711.0,FABI E NANDO FERNANDES - EM FAMÍLIA #015,2024-06-13,12167,911,45,Live
50.0,PARALAMAS do SUCESSO e o PIOR NOME de BANDA,2024-06-12,30087,1029,26,Short
9904.0,TUYO - AMPLIFICA #236,2024-06-12,5882,557,41,Live
44.0,A ORIGEM do NOME DETONAUTAS,2024-06-11,5481,155,3,Short
40.0,A INFLUÊNCIA dos PARALAMAS no SKANK,2024-06-10,22630,1901,71,Short
47.0,TOP 5 às Cegas de BANDAS,2024-06-09,50726,3384,94,Short
19731.0,JOÃO ROCK | VIVA O CLÁSSICO DESCUBRA O NOVO (Venus + Amplifica),2024-06-09,10197,420,15,Live
60.0,RAFA nos BASTIDORES do JOÃO ROCK 2024,2024-06-08,12979,1118,23,Short
432.0,CONHECENDO os CAMARINS dos FAMOSOS | JOÃO ROCK 2024,2024-06-08,2787,157,12,Live
42.0,MEDO de PALHAÇO e TEATRO MÁGICO,2024-06-07,13405,939,8,Short
7364.0,FERNANDO ANITELLI (O TEATRO MÁGICO) - AMPLIFICA #235,2024-06-07,42826,3274,172,Live
24.0,O MAIOR VIOLEIRO da HISTÓRIA,2024-06-06,20437,848,9,Short
5182.0,ESQUENTA JOÃO ROCK (VENUS + AMPLIFICA),2024-06-06,3990,245,2,Live
31.0,DUPLA SERTANEJA nova DE RAIZ,2024-06-05,12275,524,29,Short
15133.0,ROBSON MIGUEL - AMPLIFICA #234,2024-06-05,64949,6167,392,Live
34.0,A DUPLA SERTANEJA FAVORITA do VINHETEIRO,2024-06-04,17289,1068,55,Short
41.0,ANGRA no SUMMER BREEZE 2024,2024-06-03,9529,568,3,Short
45.0,GALOPEEEEIRA from METAAAL!,2024-06-02,9929,592,15,Short
920.0,LUIS MARIUTTI deu uma PISTOLADA com RAFA - JUIZ DE FORA e SUMMER BREEZE BRASIL 2024 | RoadVlog #16,2024-06-01,27775,1565,72,Live
37.0,PACTO com o T1NH0S0 para TOCAR VIOLA,2024-06-01,30172,1805,37,Short
1166.0,APRENDENDO novos INSTRUMENTOS MUSICAIS com PABLO VARES | LABS 014,2024-05-31,2018,147,9,Live
43.0,GRINGOS amam FUNK CARIOCA,2024-05-31,12156,416,36,Short
9722.0,SILIBRINA - AMPLIFICA #233,2024-05-31,6969,424,30,Live
34.0,A VIOLA é MAIS ANTIGA do que O VIOLÃO,2024-05-30,10556,646,3,Short
11690.0,FAISKA + ROBERTA - EM FAMÍLIA #014,2024-05-30,8524,608,26,Live
28.0,NINGUÉM quer SABER se VOCÊ canta BEM,2024-05-29,8271,453,24,Short
15355.0,VINHETEIRO e LEANDRO VALENTIN - AMPLIFICA #232,2024-05-29,72014,4511,560,Live
54.0,"O JEITO ""RAFA""  de COMEÇAR a COMPOR",2024-05-28,52450,3498,79,Short
58.0,Criando FORRÓ com I.A.,2024-05-27,19162,1337,31,Short
36.0,POR QUE MÚSICAS com I.A. só AGORA,2024-05-26,8530,360,3,Short
44.0,MÚSICA com I.A. EMOCIONANDO o RAFA,2024-05-25,34169,1769,67,Short
1449.0,Usando I.A. para CRIAR MÚSICAS ao VIVO | LABS 013,2024-05-24,21849,1009,121,Live
52.0,POLÊMICA! O RAFA DEFENDENDO o FINAL de GOT,2024-05-24,8725,467,32,Short
7155.0,LARA - AMPLIFICA #231,2024-05-24,5772,322,12,Live
34.0,ANGRA BOY BAND de METAL ESPADINHA???,2024-05-23,32556,2556,17,Short
7923.0,ARTHUR JOLY + PAULA JOLY - EM FAMÍLIA #013,2024-05-23,3321,200,15,Live
35.0,O ROCK MORREU e ASSIM que ELE vai VOLTAR!,2024-05-22,57338,4641,313,Short
10985.0,PAULO E CARLOS ANHAIA - AMPLIFICA #230,2024-05-22,12068,803,45,Live
47.0,BITTENCOURT PROJECT está DE VOLTA!!,2024-05-21,6467,422,5,Short
768.0,RETORNO da BITTENCOURT PROJECT | RoadVlog #15,2024-05-20,6798,480,30,Live
40.0,KENDRICK LAMAR vs DRAKE,2024-05-20,1999,87,1,Short
41.0,MADONNA e SEU PROFISSIONALISMO,2024-05-19,4322,150,2,Short
37.0,COMO FUNCIONA a MENTE do ZECA BALEIRA,2024-05-18,9330,506,6,Short
4749.0,JUNTOS PELO MINGAU - AMPLIFICA #229,2024-05-18,17959,1436,31,Live
28.0,O RAFA vai PARA o PASSEIO??,2024-05-17,32595,2031,14,Short
491.0,O PIOR TROTE do MUNDO que VOCÊ JÁ VIU | NATIVIDADE #014,2024-05-16,969,61,6,Live
35.0,O LOCAL de um SHOW ESPECIAL do ANGRA,2024-05-16,5723,535,10,Short
14643.0,ALÍRIO NETTO + LÍVIA DABARIAN - EM FAMÍLIA #012,2024-05-16,11077,685,19,Live
45.0,A VERDADE sobre PAIS e FILHOS,2024-05-15,13882,728,21,Short
10847.0,CONFRARIA COMEDY - AMPLIFICA #228,2024-05-15,6288,427,20,Live
34.0,BRUNO VALVERDE tem A IDADE do ANGRA,2024-05-14,40647,3108,34,Short
58.0,A ENTRADA do FABIO LIONE no ANGRA,2024-05-13,41907,3975,54,Short
8502.0,DINO D'SANTIAGO E LUEDJI LUNA - AMPLIFICA #227,2024-05-13,2804,183,1,Live
41.0,A EXPERIÊNCIA mais RADICAL do ZECA BALEIRO,2024-05-12,13014,858,23,Short
833.0,SHOW do ANGRA em GUARULHOS com PARTICIPAÇÕES | RoadVlog #14,2024-05-11,14605,766,29,Live
45.0,B4B4C4S do ROCK e do POP,2024-05-11,30570,2119,322,Short
1195.0,A MAIOR DISS do MUNDO da MÚSICA | LABS 012,2024-05-10,1940,80,4,Live
55.0,MÚSICA e CULTURA,2024-05-10,32884,2383,46,Short
42.0,O MELHOR ARTISTA é AQUELE que...,2024-05-09,11332,748,13,Short
4977.0,SOS RS - PROGRAMA EXTRA,2024-05-09,4076,413,19,Live
