Duration,Title,Published_date,Views,Likes,Comments,Type,mês-ano
61.0,O Flow salvou a vida do Igor? #Flow #FlowPodcast #CCXP #GrupoFlowCCXP,2024-12-09,8011,573,8,Live,Dec-24
26.0,OS DE VERDADE com o GTA 6,2024-12-09,10352,831,11,Short,Dec-24
3696.0,PERGUNTE-ME O QUE QUISER [+Guilherme Briggs],2024-12-08,38573,3112,57,Live,Dec-24
53.0,ESSA É A IDADE do BOB ESPONJA?,2024-12-08,6434,657,2,Short,Dec-24
30.0,Nostalgia: CAVALEIROS do ZODÍACO,2024-12-08,3409,313,13,Short,Dec-24
61.0,A IA vai ACABAR com o TRAMPO dos DUBLADORES?!,2024-12-08,5865,465,16,Live,Dec-24
59.0,CONHECE algum DESSES CLÁSSICOS?,2024-12-08,6143,776,4,Short,Dec-24
55.0,A SINCRONIA LABIAL está DEIXANDO os DUBLADORES PREGUIÇOSOS?,2024-12-08,4199,477,4,Short,Dec-24
2794.0,OS BASTIDORES DA DUBLAGEM DE DESENHOS ANIMADOS com WENDELL BEZERRA,2024-12-07,39572,3422,60,Live,Dec-24
19.0,A CONDIÇÃO GENÉTICA BIZARRA do AFFONSO SOLANO,2024-12-06,23171,1639,8,Short,Dec-24
6493.0,FIM DA ERA DOS STREAMINGS? [+ Affonso Solano e Bom Dia Flow],2024-12-06,38093,2390,71,Live,Dec-24
21.0,BAPTISTA usando sua MEDIUNIDADE na CCXP 2024,2024-12-06,11395,743,7,Short,Dec-24
15.0,FORTNITE em 2017 x 2024,2024-12-06,7221,405,5,Short,Dec-24
47.0,O MAIOR VILÃO do WOLVERINE com BAPTISTA kkkkk,2024-12-06,3598,327,6,Short,Dec-24
54.0,ESSA série NÃO VAI TER a SEGUNDA TEMPORADA,2024-12-06,3959,321,4,Short,Dec-24
30.0,CAPITÃO ANGOLA entrevista LEON do RESIDENT EVIL,2024-12-06,3511,351,4,Short,Dec-24
5012.0,A MENTE DOS VILÕES: O que nos atrai neles? [com Lisa Guerra],2024-12-05,27790,1898,31,Live,Dec-24
47.0,COMPREENDENDO o THANOS,2024-12-05,8667,617,19,Short,Dec-24
31.0,O VILÃO Nº1 da CCXP,2024-12-05,5242,392,1,Short,Dec-24
56.0,ELE É O MAIOR VILÃO do DRAGON BALL?,2024-12-05,4832,315,4,Short,Dec-24
33.0,ANAKIN SKYWALKER quis VIRAR o DARTH VADER?,2024-12-05,19481,1695,21,Short,Dec-24
30.0,DESCUBRA: VOCÊ seria HERÓI ou ANTI-HERÓI,2024-12-05,4391,329,5,Short,Dec-24
61.0,É ERRADO gostar dos VILÕES?,2024-12-05,5729,440,10,Live,Dec-24
29.0,DEFINIÇÃO do CORINGA,2024-12-05,3256,202,5,Short,Dec-24
53.0,O MELHOR VILÃO do IGOR 3K,2024-12-05,9199,859,16,Short,Dec-24
48.0,QUANDO bate o TDAH no meio do PODCAST,2024-12-05,7256,599,2,Short,Dec-24
4108.0,EXTRA FLOW NA CCXP - SPOILER NIGHT,2024-12-05,35019,1826,25,Live,Dec-24
29.0,Igor 3K foi dirigido pelo Zack Snyder? 😱,2024-12-04,5679,415,5,Short,Dec-24
47.0,A CCXP é maior que a COMIC CON?,2024-12-04,4744,403,9,Short,Dec-24
30.0,Qual dinossauro você seria!?,2024-12-04,78831,7654,60,Short,Dec-24
46.0,As aventuras de Igor no Fantástico mundo da IA,2024-12-04,355050,31446,143,Short,Dec-24
47.0,Como foi interpretar o GALVÃO BUENO na série do Senna?,2024-12-04,57257,3326,17,Short,Dec-24
13724.0,AS PRODUÇÕES MAIS AGUARDADAS DE 2025 [com @CanalPeeWee],2024-12-04,485960,18626,374,Live,Dec-24
34.0,Como ele tinha argumentos tão bons?,2024-12-03,518094,85348,342,Short,Dec-24
49.0,A INEXPLICÁVEL sensação de ser PAI,2024-12-03,123724,14921,137,Short,Dec-24
38.0,O sucesso inesperado do Carmed #carmeds #flow  #cortespodcast,2024-12-03,5492,342,14,Short,Dec-24
11415.0,"IA NO MERCADO AUDIOVISUAL [com Bruno Bock, Brunno Sarttori e Sergio Sacani]",2024-12-03,101978,3617,146,Live,Dec-24
24.0,Alguém liga a tecla SAP #jacquin #masterchef #flowpodcast,2024-12-02,132273,11961,150,Short,Dec-24
37.0,O dia que Anna fugiu da festa #tomorrowland #djanna #musica,2024-12-02,6408,387,2,Short,Dec-24
29.0,Boni MANDA A REAL no Flow #igor3k #BONI #globo #flowpodcast,2024-12-02,73827,7163,82,Short,Dec-24
16.0,Mensagem MOTIVACIONAL de toda segunda-feira #juliobalestrin #maromba,2024-12-02,6393,624,11,Short,Dec-24
55.0,Triste daquele que perdeu a capacidade de amar  #filosofia #clovisdebarrosfilho,2024-12-01,5427,755,11,Short,Dec-24
35.0,👀 #podcast #mclan #V3non,2024-12-01,785682,69127,423,Short,Dec-24
42.0,O inacreditável tio do Tatuí #flow #igorfina #tatuí,2024-12-01,415138,47396,119,Short,Dec-24
43.0,Guilherme Briggs REVELA que já dormiu com a própria dublagem #dublagem #sono #briggs,2024-12-01,63005,7489,31,Short,Dec-24
32.0,O futebol está ficando chato? #podcast #Skank #samuerosa,2024-11-30,18039,1648,41,Short,Nov-24
16.0,Namore alguém que te ame igual o Serjão ama os foguetes #spacetoday #sacani,2024-11-30,16099,1527,18,Short,Nov-24
3983.0,SEGREDOS E CURIOSIDADES DA SÉRIE DO SENNA,2024-11-30,98170,5477,116,Live,Nov-24
47.0,O que o Senna deixou de lição? Um grande legado 🏁 #senna #autoflow #,2024-11-29,68423,6245,36,Short,Nov-24
47.0,O que passa na mente de um PSICOPATA? #anabeatrizbarbosa #flowpdc #psicologia,2024-11-29,14653,1273,9,Short,Nov-24
28.0,A VERDADE sobre a panela de pressão #flowpodcast #mauríciomeirelles #paneladeferro,2024-11-29,20968,2071,17,Short,Nov-24
27.0,Honestidade em primeiro lugar ⚡️ #poker #akkari #neymarjr #furia,2024-11-29,19476,1173,7,Short,Nov-24
8602.0,AKKARI [FURIA] - Flow #416,2024-11-29,89635,4540,129,Live,Nov-24
28.0,Não existe biscoito da sorte na China #biscoitodasorte #flowpodcast #cortesdoflow,2024-11-28,17337,1525,14,Short,Nov-24
24.0,Um homem que venceu duas Copas do Mundo e só queria jogar Call of Duty #ronaldo #flow #callofduty,2024-11-28,8287,805,10,Short,Nov-24
41.0,A gafe de parar no box da equipe errada #autoflow #formula1 #f1,2024-11-28,659058,48303,100,Short,Nov-24
40.0,Como MELHORAR na BARRA FIXA  #balestrin #flow #musculação,2024-11-28,308017,27215,116,Short,Nov-24
38.0,Musculação é a BASE para todo ESPORTE  #balestrin #flow #musculação,2024-11-28,14078,884,2,Short,Nov-24
57.0,Dicas para um TREINO EFICIENTE  #balestrin #flow #musculação,2024-11-28,4880,410,6,Short,Nov-24
32.0,A IMPORTÂNCIA do CARDIO  #balestrin #flow #musculação,2024-11-28,4830,410,0,Short,Nov-24
16.0,Dicas do BALESTRIN para iniciantes  #balestrin #flow #musculação,2024-11-28,7898,471,2,Short,Nov-24
56.0,Dicas para CORRER  #balestrin #flow #musculação,2024-11-28,139774,13667,66,Short,Nov-24
7223.0,NUNCA MAIS ERRE NOS SEUS TREINOS [+ Julio Balestrin],2024-11-27,216788,12272,150,Live,Nov-24
44.0,A pergunta que não quer calar: o que é TREINAR FOFO? ⚡ #balestrin #flow #musculação,2024-11-27,6806,534,0,Short,Nov-24
38.0,Uma das ultrapassagens mais perigosas da F1! Barrichello X Schumacher #formula1 #rubinho #autoflow,2024-11-27,4459891,337983,2138,Short,Nov-24
